"component","deltamz","deltamz_int","EdgeScore","EdgeType","interaction","matched_peaks","name","scan1","scan2","score","selected","shared interaction","shared name"
"10","-14.016","-14","0.9162","Cosine","-","0","6067 (-) 5023","6067","5023","0.9162","false","-","6067 (-) 5023"
"10","29.974","29","0.7215","Cosine","-","0","6067 (-) 4783","6067","4783","0.7215","false","-","6067 (-) 4783"
"10","-14.016","-14","0.9018","Cosine","-","0","6067 (-) 5412","6067","5412","0.9018","false","-","6067 (-) 5412"
"98","-41.051","-41","0.8273","Cosine","-","0","32097 (-) 7602","32097","7602","0.8273","false","-","32097 (-) 7602"
"98","-84.095","-84","0.9295","Cosine","-","0","32097 (-) 42378","32097","42378","0.9295","false","-","32097 (-) 42378"
"98","-28.032","-28","0.9311","Cosine","-","0","32097 (-) 38595","32097","38595","0.9311","false","-","32097 (-) 38595"
"98","-28.031","-28","0.9157","Cosine","-","0","32097 (-) 24716","32097","24716","0.9157","false","-","32097 (-) 24716"
"98","-14.015","-14","0.918","Cosine","-","0","32097 (-) 30115","32097","30115","0.918","false","-","32097 (-) 30115"
"883","-63.961","-63","0.8201","Cosine","-","0","9281 (-) 10806","9281","10806","0.8201","false","-","9281 (-) 10806"
"883","-43.991","-43","0.788","Cosine","-","0","9281 (-) 9812","9281","9812","0.788","false","-","9281 (-) 9812"
"324","-12.004","-12","0.8659","Cosine","-","0","22848 (-) 21501","22848","21501","0.8659","false","-","22848 (-) 21501"
"56","17.032","17","0.7252","Cosine","-","0","16434 (-) 16396","16434","16396","0.7252","false","-","16434 (-) 16396"
"3937","-33.982","-33","0.9141","Cosine","-","0","37049 (-) 37578","37049","37578","0.9141","false","-","37049 (-) 37578"
"988","-114.043","-114","0.7941","Cosine","-","0","7833 (-) 8182","7833","8182","0.7941","false","-","7833 (-) 8182"
"1359","-0.001","0","0.8589","Cosine","-","0","24151 (-) 7743","24151","7743","0.8589","false","-","24151 (-) 7743"
"65","-0.0","0","0.7993","Cosine","-","0","4977 (-) 2467","4977","2467","0.7993","false","-","4977 (-) 2467"
"65","-0.086","0","0.8128","Cosine","-","0","4977 (-) 2677","4977","2677","0.8128","false","-","4977 (-) 2677"
"23","18.011","18","0.8532","Cosine","-","0","20599 (-) 27437","20599","27437","0.8532","false","-","20599 (-) 27437"
"23","-371.234","-371","0.8411","Cosine","-","0","20599 (-) 24211","20599","24211","0.8411","false","-","20599 (-) 24211"
"23","71.057","71","0.8546","Cosine","-","0","20599 (-) 24188","20599","24188","0.8546","false","-","20599 (-) 24188"
"23","-35.037","-35","0.8462","Cosine","-","0","20599 (-) 19831","20599","19831","0.8462","false","-","20599 (-) 19831"
"23","-0.0","0","0.8937","Cosine","-","0","20599 (-) 17764","20599","17764","0.8937","false","-","20599 (-) 17764"
"23","-53.047","-53","0.8942","Cosine","-","0","20599 (-) 17721","20599","17721","0.8942","false","-","20599 (-) 17721"
"23","35.037","35","0.8882","Cosine","-","0","20599 (-) 22742","20599","22742","0.8882","false","-","20599 (-) 22742"
"23","18.011","18","0.8515","Cosine","-","0","20599 (-) 24196","20599","24196","0.8515","false","-","20599 (-) 24196"
"47","74.037","74","0.7527","Cosine","-","0","22754 (-) 16346","22754","16346","0.7527","false","-","22754 (-) 16346"
